datetime,zone,carbon_intensity
2026-08-16T09:00:00.000Z,DE,147
2026-08-16T10:00:00.000Z,DE,139
2026-08-16T11:00:00.000Z,DE,139
2026-08-16T12:00:00.000Z,DE,139
2026-08-16T13:00:00.000Z,DE,150
2026-08-16T14:00:00.000Z,DE,218
2026-08-16T15:00:00.000Z,DE,293
2026-08-16T16:00:00.000Z,DE,353
2026-08-16T17:00:00.000Z,DE,407
2026-08-16T18:00:00.000Z,DE,431
2026-08-16T19:00:00.000Z,DE,449
2026-08-16T20:00:00.000Z,DE,459
2026-08-16T21:00:00.000Z,DE,472
2026-08-16T22:00:00.000Z,DE,489
2026-08-16T23:00:00.000Z,DE,506
2026-08-17T00:00:00.000Z,DE,520
2026-08-17T01:00:00.000Z,DE,522
2026-08-17T02:00:00.000Z,DE,519
2026-08-17T03:00:00.000Z,DE,498
2026-08-17T04:00:00.000Z,DE,450
2026-08-17T05:00:00.000Z,DE,404
2026-08-17T06:00:00.000Z,DE,369
2026-08-17T07:00:00.000Z,DE,348
2026-08-17T08:00:00.000Z,DE,336
2026-08-17T09:00:00.000Z,DE,304
2026-08-17T10:00:00.000Z,DE,281
2026-08-17T11:00:00.000Z,DE,275
2026-08-17T12:00:00.000Z,DE,265
2026-08-17T13:00:00.000Z,DE,258
2026-08-17T14:00:00.000Z,DE,268
2026-08-17T15:00:00.000Z,DE,298
2026-08-17T16:00:00.000Z,DE,329
2026-08-17T17:00:00.000Z,DE,367
2026-08-17T18:00:00.000Z,DE,401
2026-08-17T19:00:00.000Z,DE,422
2026-08-17T20:00:00.000Z,DE,433
2026-08-17T21:00:00.000Z,DE,451
2026-08-17T22:00:00.000Z,DE,492
2026-08-17T23:00:00.000Z,DE,491
2026-08-18T00:00:00.000Z,DE,496
2026-08-18T01:00:00.000Z,DE,499
2026-08-18T02:00:00.000Z,DE,499
2026-08-18T03:00:00.000Z,DE,487
2026-08-18T04:00:00.000Z,DE,466
2026-08-18T05:00:00.000Z,DE,440
2026-08-18T06:00:00.000Z,DE,406
2026-08-18T07:00:00.000Z,DE,381
2026-08-18T08:00:00.000Z,DE,357
2026-08-18T09:00:00.000Z,DE,319
2026-08-18T10:00:00.000Z,DE,286
2026-08-18T11:00:00.000Z,DE,277
2026-08-18T12:00:00.000Z,DE,277
2026-08-18T13:00:00.000Z,DE,279
2026-08-18T14:00:00.000Z,DE,303
2026-08-18T15:00:00.000Z,DE,326
2026-08-18T16:00:00.000Z,DE,360
2026-08-18T17:00:00.000Z,DE,382
2026-08-18T18:00:00.000Z,DE,408
2026-08-18T19:00:00.000Z,DE,418
2026-08-18T20:00:00.000Z,DE,432
2026-08-18T21:00:00.000Z,DE,430
2026-08-18T22:00:00.000Z,DE,422
2026-08-18T23:00:00.000Z,DE,424
2026-08-19T00:00:00.000Z,DE,425
2026-08-19T01:00:00.000Z,DE,421
2026-08-19T02:00:00.000Z,DE,416
2026-08-19T03:00:00.000Z,DE,388
2026-08-19T04:00:00.000Z,DE,356
2026-08-19T05:00:00.000Z,DE,332
2026-08-19T06:00:00.000Z,DE,297
2026-08-19T07:00:00.000Z,DE,273
2026-08-19T08:00:00.000Z,DE,245
2026-08-19T09:00:00.000Z,DE,229
2026-08-19T10:00:00.000Z,DE,212
2026-08-19T11:00:00.000Z,DE,204
2026-08-19T12:00:00.000Z,DE,213
